Index,Property Prices,Longitude,Latitude,Size,Floor,Highest floor,Units,Parking,Heating,Year,Delentropy,Delentropy_d,Dist. Green,Dist. Water,Dist. Subway,Bust Stop,Dist. CBD,Top Univ.,High School,Sex Ratio,Population,Pop. Density,Higher Degree,Young Population,Median Age,Old Population,Spring,Fall,Winter
3528,9.560997244,127.316855,36.375594,59.88,5,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3528,9.546812609,127.316855,36.375594,59.88,5,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3528,9.581903928,127.316855,36.375594,59.88,8,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3530,9.952277717,127.316855,36.375594,89,7,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3530,9.878169745,127.316855,36.375594,89,8,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3526,9.503009986,127.316855,36.375594,54.14,9,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3526,9.503009986,127.316855,36.375594,54.14,12,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3526,9.45720045,127.316855,36.375594,54.14,15,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3526,9.472704636,127.316855,36.375594,54.14,10,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3526,9.503009986,127.316855,36.375594,54.14,9,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
