Index,Delentropy
12097,7.092006681
121,7.291617834
12109,7.02664831
12110,6.858051936
12111,6.826867405
12112,7.109043669
12113,6.901809347
12114,6.608970401
12115,6.782822246
12117,6.459097635
12118,6.654780487
12119,6.573090459
12120,6.672807488
12121,6.589071825
12124,6.775182009
12125,6.917983595
12126,6.691277818
12127,7.536924971
12128,7.630462039
12129,7.65669138
12130,7.477238548
12131,7.24370589
12132,8.776131086
12133,7.291517476
12134,7.380734343
12135,7.421574552
12136,7.341647352
12137,8.570469682
12138,7.453902544
12139,7.346240981
12140,7.355318944
12141,7.470687506
12147,5.880175993
12150,7.095691654
12151,6.657396916
12152,6.835843703
12153,6.532495156
12154,7.233227788
12155,7.250425091
12159,7.216387835
12160,7.463626813
12161,7.069863551
12162,7.017713569
12163,6.934862001
12164,7.61519339
12165,7.730375235
12166,7.81262164
12167,7.126534343
12168,7.95878331
12169,7.790238599
12170,8.308270039
12171,8.156656574
12172,7.946716453
12173,6.586390855
12174,6.713134181
12175,6.689480343
12176,7.854700226
12177,7.949786576
12178,7.689462801
12179,7.975511003
12181,6.444400266
12182,7.708724191
12183,7.717197006
12184,7.797000949
12185,7.80943589
12186,7.53718027
12187,7.811938229
12188,7.600451441
12189,7.590114083
12190,7.104633456
12191,7.699455574
12192,6.597948703
12193,6.5254641
12194,8.194697997
12195,6.518110492
12196,6.790218486
12197,6.638684207
12198,6.89603897
122,7.00650789
12201,6.803811601
12205,6.774612164
12206,6.741526201
12207,6.437943076
12208,7.400967818
12209,7.672780452
12210,7.551987326
12211,6.879871818
12212,6.887017855
12213,6.955247581
12214,6.913846184
12215,6.951049374
12231,5.960368566
12237,7.568857324
12238,7.632245993
12239,7.814495663
12240,7.646008099
12241,7.735807446
12243,6.954152444
12244,6.760934485
12245,6.910500439
12246,7.031707306
12247,7.428869963
12248,7.25799411
12249,8.856079624
12250,8.152588628
12251,8.261894775
12252,8.400003762
12253,5.708684233
12254,8.869775543
12255,9.118190025
12256,8.393184643
12257,9.040131705
12258,8.9926194
12259,9.264449144
12260,8.618507544
12261,8.396106619
12262,8.303348353
12263,8.354726687
12264,7.772119137
12265,7.808805447
12266,8.873293477
12267,8.10245073
12270,6.273450972
12271,5.712572788
12272,7.324586128
12274,9.103393246
12275,8.637430216
12280,6.595563671
12282,6.707431123
12283,6.753256523
12285,6.819831384
12288,6.765443809
12293,6.850916968
12295,6.968169801
123,7.070305879
12300,7.008116481
12301,6.954701992
12302,6.180566293
12303,6.411708833
12304,6.3326679
12305,6.622751661
12306,6.589868961
12307,6.572564375
12308,6.172296365
12309,6.548730071
12310,6.168699409
12311,8.005227277
12312,7.94176018
12313,8.039305218
12314,8.222523819
12315,8.141234072
12317,7.647791972
12318,7.745022703
12323,6.273214169
12324,7.563971752
12325,7.565458866
12326,7.413507911
12333,6.540471042
12335,6.612404224
12336,6.659580168
12337,6.268579538
12338,6.014927818
12340,5.853405056
12341,5.800355272
12343,6.160164837
12345,6.163766071
12346,6.629571003
12347,6.755696482
12348,7.052812136
12350,5.976614557
12351,6.505044309
12352,6.741161434
12353,8.245078056
12354,8.036626359
12355,8.611803228
12356,8.828453824
12357,9.063934032
12358,8.982031635
12359,8.258592624
12360,8.498547946
12361,9.231715361
12362,8.495025591
12363,8.795053364
12364,8.01203562
12372,7.316818433
12373,7.370169045
12374,8.504631579
12375,8.159618687
12376,8.606282942
12377,8.511724388
12379,8.493817596
12380,8.511139623
12381,7.927454225
12382,7.797133437
12383,7.782240188
12384,7.563061266
12385,7.915299349
12386,7.960005079
12387,7.861114798
12388,7.40882404
12389,7.825903214
12390,8.850549477
12391,8.451854964
12392,8.840602766
12393,8.714869412
12394,8.695926058
12395,7.293117218
12396,7.156564401
12397,7.826750876
12398,7.326828996
12399,7.14107905
124,7.005907337
12400,7.718856321
12401,7.399793544
12402,7.393002878
12403,7.295604262
12404,7.028821568
12405,7.229027974
12406,7.247611119
12407,6.629373414
12408,6.767309808
12409,6.931640602
12410,8.383244697
12419,6.281214852
12420,6.913063586
12421,7.043007397
12422,6.937952718
12423,6.7040615
12424,6.972068414
12425,6.888914225
12426,7.048280185
12427,7.147495862
12429,6.244597455
12430,6.196755427
12431,6.239393147
12432,6.100635282
12433,8.292342012
12434,8.467197855
12435,8.675372013
12436,8.907301216
12437,8.945056996
12438,8.488226172
12439,8.630564442
12440,5.511016485
12441,5.667526046
12442,6.174723036
12443,5.453771357
12444,6.357810506
12445,6.041266395
12489,6.004138682
12490,6.544064
12491,6.454506426
12492,6.400554165
125,7.220601427
12509,6.258321079
12510,7.934052709
12511,7.764851092
12512,7.678297832
12513,7.72320135
12514,6.406275413
12515,6.041707455
12516,5.869231539
12517,5.916131872
12522,5.667443911
12523,5.96307502
12524,5.967033597
12525,5.988085731
1253,7.507766849
12536,6.491724167
12537,6.735345112
12538,6.68993172
12539,6.809021274
12570,6.490431161
12571,6.628314004
