index,delentropy
1870,6.403978183
1871,6.653465908
1872,7.150318644
1874,7.356216647
1875,7.176126267
188,6.084775523
1880,6.452512125
1881,5.647387003
1882,6.833558561
1883,6.802750453
1884,6.82263271
1885,6.704931909
1886,6.536741207
1887,6.683149038
189,6.425710156
1893,6.656337039
1894,6.659828991
1895,6.731374101
1896,6.75964681
1897,6.392940989
1898,6.82900861
190,6.192317264
1900,6.133793551
1902,5.988079999
1904,5.957660914
1906,6.115327145
1907,5.997631093
191,6.414571026
1910,6.715923083
1911,6.824682746
1917,7.392005274
192,6.283526962
1921,6.982386753
1922,7.479512886
1923,7.391114464
1924,6.880523255
1925,7.203731983
1926,7.25084911
1927,7.274131851
1928,7.233839545
193,6.920664
1934,8.057141163
1935,7.943198023
195,6.061976203
1951,6.435464732
1952,6.881459794
1953,7.007100533
1954,6.394256487
1955,6.852065468
1956,6.961266395
1957,8.10785236
1958,8.147793452
1959,8.266294192
1960,8.355813843
1961,6.723303661
1962,6.775948897
1963,6.708588799
1964,7.148884499
1965,7.159388303
1975,6.29184681
1976,6.464132913
1977,8.01072052
1978,7.87788191
1979,7.031682303
1980,6.926048136
1981,6.776843236
1982,6.850100217
1983,6.746726968
1984,7.042429363
1985,6.997820724
1986,7.079128593
1987,7.057235079
1988,7.049793825
1989,7.267732631
1990,6.678374263
1991,6.80569665
1993,6.894723105
1994,6.870744226
1995,6.650930837
2009,6.883520739
2010,6.173894462
203,7.805017752
2031,7.396144607
2032,7.313331632
204,7.807501993
2056,5.669324488
2057,5.792100435
2058,6.350684036
2059,6.226692055
2060,6.882573715
2061,7.033244511
2062,7.170606216
2063,7.442566262
2064,6.18246577
2065,7.003110804
2066,6.664351351
2067,6.47389774
2068,7.343595797
2069,7.379666988
2070,7.33855425
2071,6.393162608
2072,7.580825427
2073,7.738623434
2074,6.759505388
2075,6.306696317
2076,6.96526786
2077,6.885525138
2078,6.859378495
2079,6.853755205
2080,7.467906771
2081,7.1643654
2082,7.778107588
2083,7.772632498
2084,7.485359427
2085,7.61839128
2086,7.417010646
2087,7.667067113
2088,7.580701989
2089,7.580701989
2090,7.671033808
2091,7.64099531
2092,7.386590669
2093,7.179288648
2094,7.167746531
2095,7.508351956
2096,6.939068246
2097,6.769646064
2098,7.21199736
2099,6.769646064
2100,7.21199736
2101,7.495965021
2102,7.695417374
2103,7.36482998
2119,6.402724323
2120,6.271867974
2121,6.442594569
2122,6.557436933
2123,6.457269959
2124,6.523155186
2125,5.46973442
2126,5.880079697
2127,5.868457074
2169,6.861824958
2170,6.776091526
2171,6.928362526
2172,6.337335235
2177,7.325136934
2179,7.332565689
218,6.900892043
219,6.985761625
2197,6.714856453
2198,6.873175904
2199,6.950818006
220,7.538443196
2200,7.331866491
221,7.102451888
2211,6.481607266
2213,6.489398268
2219,6.331448018
222,6.512969306
2228,6.546148114
223,6.66294311
2230,7.491338278
2231,7.378755046
2232,7.440930574
2233,7.879316937
2234,7.75591749
2235,5.853166993
2236,6.679551199
2237,6.192630674
2238,6.136975626
2239,6.493917634
224,6.496120481
2240,6.52442098
2241,7.649180246
2242,7.398076521
2243,7.861328719
2244,7.785511681
2245,7.73586403
2246,7.829742001
2247,7.746732837
2248,7.522551985
2249,5.966897408
225,6.510231552
2250,6.01280397
2251,6.083971028
2252,6.061692064
2253,6.099776476
2254,6.128282993
2255,5.991856112
226,6.555180074
2260,7.582726784
2261,7.024378195
2262,5.932104034
2263,5.965412156
2264,5.976455661
2265,5.962256687
2266,5.962868125
2267,5.901119171
2268,7.231649584
2269,7.29379165
227,6.41932939
2270,6.736493662
2271,7.185058932
2273,7.123140992
2274,7.568834729
2275,7.740058451
